name,type,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,StructureFunction_index_21,StructureFunction_index_31,StructureFunction_index_32
389021850_sector01_2_1_cleaned.lc,EW,0.062637,1,2,0.354075372,28.49726104,0,0.63515625,0,0.875458264,0.232485235,0.357898748,0.466139564,0.626868386,0.86159655,0.043648514,0.002928612,0.001482613,0.000907396,0,-0.677933594,-1.835749645,-0.925886593,0.02194338,0.00175154,0.00039763,0.000757268,0,-1.686423081,-0.193012414,-1.652592645,0.003123076,0.000225019,0.00058589,0.000235178,0,2.23844504,0.243229865,1.132333196,0.017531,-5.46E-05,2.900498227,18.10021346,0.001968055,0.026969,0.230499562,-0.1,0.004774043,0.006380604,0.01823115,0,0.200471243,0.43080807,0.0539,0.016117509,0.280447948,2,-0.892779768,0.035622224,0.85454463,0.688976254,1.750755506,2.294690823,1.370830176
177311437_sector01_4_2_cleaned.lc,EW,0.1323365,1,2,0.381847915,270.288624,0.456353179,0.06487997,0,0.480683617,0.272071056,0.469474647,0.681125768,0.837016771,0.925072341,0.123924906,0.020429997,0.003175964,0.002743887,0,-0.945555047,0.561316138,0.479380053,0.008627386,0.00055361,0.000308765,0.000918777,0,1.840250064,2.548478003,2.48516014,0.006649936,0.00155553,0.000207408,0.000335264,0,0.706185297,-0.430803185,1.284342191,0.08427,-0.000253943,7.144757132,17.53631777,0.005099939,0.074163,0.180703189,0.1,0.010780425,0.014482571,0.00508412,0,0.235071875,0.035965703,0.171643,0.017387897,0.341923916,1,-1.349329704,0.089434146,0.886346468,0.884495572,1.868053685,2.653298024,1.427692002
389726472_sector01_2_4_cleaned.lc,EW,0.1636625,1,2,0.352088662,29.70636044,0,0.63515625,0,0.750237519,0.22509318,0.427758685,0.592000258,0.763186343,0.894602837,0.140550961,0.025307029,0.009601627,0.00314077,0,1.050415161,1.732554016,0.996256859,0.014660291,0.001620584,0.000124087,0.00082746,0,0.312456982,0.680112803,-0.828742529,0.011112964,0.003117126,0.003025064,0.001501276,0,0.943918393,-0.347978543,0.058913308,0.100626,8.32E-06,9.816805596,18.8681805,0.005498347,0.084073,0.225063939,0.1,0.012965204,0.01644296,0.006687494,0,0.217861015,0.098196815,0.183573,0.01860417,0.380577802,1,-1.162760551,0.103743803,0.870391619,0.880063739,1.683949188,2.117294563,1.294558081
263015674_sector01_3_3_cleaned.lc,EW,0.108012,1,2,0.460580913,27.81728532,0,0.63515625,0,0.585728797,0.304208653,0.540809003,0.754069417,0.858242663,0.941779347,0.105303667,0.007737954,0.004810096,0.002019156,0,-0.372803192,-1.91245789,-0.427212533,0.014041261,0.000878962,0.000146914,0.001448959,0,-0.343735661,-2.126559997,-2.618296,0.00914249,0.001433394,0.000295083,0.001559381,0,-0.141319463,1.178486317,1.73559499,0.041061,8.99E-06,4.84078643,17.66832263,0.004284328,0.0721,0.147717842,-0.233333333,0.007814922,0.011836987,0.004259934,0,0.2230876,0.075584712,0.157273,0.014453856,0.175512328,2,-1.501110742,0.075696897,0.90003739,0.909290625,1.863404676,2.643878698,1.428332438
364399571_sector01_4_3_cleaned.lc,EW,0.0738105,1,2,0.424217463,26.76623618,0,0.63515625,0,0.525589657,0.267875808,0.455367248,0.65842951,0.808442846,0.927220825,0.066557579,0.010277162,0.002930624,0.001348687,0,0.290681872,1.006820351,0.518303652,0.006613256,0.003618324,0.00189858,0.001345351,0,-1.325192554,0.652529905,-1.625158339,0.003869553,0.000213641,0.00027058,0.000178338,0,0.518675218,-0.306760561,-0.150974702,0.033411,1.27E-05,3.388713232,17.0007422,0.002849433,0.040457,0.191103789,-0.033333333,0.005833622,0.008164345,0.007192565,0,0.221777203,0.071604648,0.09122125,0.03222982,0.31684304,1,-1.301282163,0.048442468,0.884588407,0.541226836,1.642241349,2.055994509,1.290664072
126801808_sector01_2_4_cleaned.lc,EW,0.0815875,1,2,0.362962963,27.94218459,0,0.63515625,0,1.188812257,0.240572035,0.411200917,0.596150426,0.751450836,0.891811421,0.068955253,0.013642195,0.003840474,0.001016516,0,-0.544325311,-0.961571018,-1.560534275,0.005261757,0.000346645,0.001775876,0.000277351,0,1.929411182,0.944003152,1.105896504,0.004733232,0.000320113,0.000424247,0.000366822,0,-1.933539203,-2.260502318,0.273939319,0.051297,6.40E-05,5.091894757,17.74765318,0.002868397,0.038503,0.21399177,-0.1,0.006886001,0.008559448,0.024769933,0,0.217364128,0.098181092,0.0902125,0.024558685,0.43528351,1,-1.107472793,0.050907319,0.871175136,0.747790371,1.819802934,2.489056342,1.384415214
141809397_sector01_4_2_cleaned.lc,EW,0.053714,1,2,0.481512605,26.92498661,0,0.63515625,0,0.738008385,0.288173527,0.531989155,0.711757456,0.825684003,0.920384521,0.049524931,0.002612713,0.002118351,0.000436572,0,-1.250526621,-0.94637828,-0.502586399,0.006710785,0.000244022,0.0002996,8.66E-05,0,0.764328065,0.930735285,1.673429824,0.004522881,0.003060323,0.000969145,0.000450995,0,1.198514851,1.223532967,1.349426138,0.011558,-1.43E-05,2.926415637,17.10157353,0.002106576,0.03448,0.172268908,-0.033333333,0.004138684,0.005932334,0.003402483,0,0.247227938,0.064920418,0.07218975,0.015200814,0.122251103,2,-1.457507518,0.036025764,0.895200627,0.520746985,1.796976037,2.439005635,1.377562358
382223463_sector01_1_1_cleaned.lc,EW,0.0413505,1,2,0.405106383,276.3953232,0.15367524,0.049399579,0,0.752002129,0.235148772,0.422050562,0.574048065,0.702364232,0.870045256,0.032995369,0.003279161,0.001583209,0.000444971,0,1.590335448,-0.473177214,-0.337075072,0.009563839,0.003551274,0.000452216,0.000644348,0,-2.676156705,-0.477509867,0.057119709,0.003646477,0.000574733,0.000454479,0.000244281,0,-0.282038844,-0.087967046,-1.73952926,0.0214945,-0.000106725,1.841171935,13.65381273,0.001830213,0.021472,0.226382979,0.033333333,0.004093153,0.00563336,0.00979203,0,0.288389855,0.130642946,0.044041,0.022346243,0.325043389,2,-1.102369525,0.024989392,0.872606394,0.779888331,1.836367077,2.567457675,1.412741408
79019440_sector01_2_4_cleaned.lc,EW,0.0367095,1,2,0.482441472,24.39750399,0,0.63500824,0,0.719921235,0.30336819,0.488373101,0.68418164,0.822029002,0.930657461,0.033863436,0.001097529,0.001088915,0.000292268,0,1.80404861,0.125107384,1.909143462,0.003734477,0.001084038,0.000336792,0.00022636,0,-1.037185293,-0.526002992,-1.837938881,0.001754668,0.000253593,0.000388172,0.000271136,0,1.71366719,-0.062387542,0.813433462,-0.000512,-5.61E-05,1.774264635,15.49261606,0.001565578,0.023802,0.156354515,0.033333333,0.002805283,0.004469192,0.009805221,0,0.238988807,0.021041671,0.04727025,0.018809378,-0.017206136,1,-1.420345911,0.024254892,0.894799489,0.488640584,1.837740458,2.569251303,1.420356249
161290048_sector01_2_3_cleaned.lc,EW,0.11688375,1,2,0.40201005,332.7974819,0.477428232,0.050137471,0,0.69881747,0.278712059,0.488546385,0.701818133,0.848111424,0.94563434,0.111534281,0.017122957,0.003821536,0.002009672,0,1.000560087,0.961710884,-0.372230264,0.004926343,0.000848847,0.000133458,0.00034801,0,0.356081623,-0.681244453,1.441689843,0.003250513,0.002965001,0.000725707,0.000474253,0,-1.962990759,-0.697743688,-2.873446558,0.0625395,-7.31E-07,5.732777618,16.68562423,0.004789641,0.0689765,0.185092127,0.033333333,0.010552368,0.013456444,0.176416046,0,0.226290823,0.023787624,0.15719225,0.012790401,0.292466102,1,-1.383611994,0.079918153,0.888952077,0.705998408,1.847745686,2.581929873,1.411809061
